date,hour,load
1/30/2010,12,961.56
1/30/2010,13,934.55
1/30/2010,14,905.6
1/30/2010,15,870.73
1/30/2010,16,841.29
1/30/2010,17,770.29
1/30/2010,18,776.56
1/30/2010,19,854.42
1/30/2010,20,845.7
1/30/2010,21,807.98
1/30/2010,22,770.66
1/30/2010,23,735.39
1/30/2010,24,698.97
1/31/2010,1,671.48
1/31/2010,2,650.42
1/31/2010,3,634.49
1/31/2010,4,626.85
1/31/2010,5,619.21
1/31/2010,6,614.05
1/31/2010,7,584.42
1/31/2010,8,610.67
1/31/2010,9,654.74
1/31/2010,10,690.03
1/31/2010,11,738.4
1/31/2010,12,753.47
1/31/2010,13,764.49
1/31/2010,14,760.24
1/31/2010,15,751.36
1/31/2010,16,734.81
1/31/2010,17,721.51
1/31/2010,18,719.28
1/31/2010,19,804.12
1/31/2010,20,809.92
1/31/2010,21,799.66
1/31/2010,22,775.96
1/31/2010,23,742.18
1/31/2010,24,700.87
2/1/2010,1,670.79
2/1/2010,2,654.6
2/1/2010,3,628.61
2/1/2010,4,618.62
2/1/2010,5,627.86
2/1/2010,6,650.43
2/1/2010,7,672.98
2/1/2010,8,828.79
2/1/2010,9,975.39
2/1/2010,10,1071.84
2/1/2010,11,1106.29
2/1/2010,12,1101.25
2/1/2010,13,1105.63
2/1/2010,14,1120.84
2/1/2010,15,1123.73
2/1/2010,16,1069.42
2/1/2010,17,987.81
2/1/2010,18,896.45
2/1/2010,19,948.74
2/1/2010,20,913.18
2/1/2010,21,879.96
2/1/2010,22,835.62
2/1/2010,23,794
2/1/2010,24,740.05
2/2/2010,1,706.68
2/2/2010,2,686.78
2/2/2010,3,668.37
2/2/2010,4,658.47
2/2/2010,5,668.55
2/2/2010,6,689.85
2/2/2010,7,712.52
2/2/2010,8,852.56
2/2/2010,9,991.59
2/2/2010,10,1083.7
2/2/2010,11,1119.24
2/2/2010,12,1129.47
2/2/2010,13,1130.72
2/2/2010,14,1142.52
2/2/2010,15,1133.53
2/2/2010,16,1084.65
2/2/2010,17,1010.61
2/2/2010,18,902.24
2/2/2010,19,966.34
2/2/2010,20,937.5
2/2/2010,21,879.75
2/2/2010,22,852.22
2/2/2010,23,800.01
2/2/2010,24,744.04
2/3/2010,1,712.11
2/3/2010,2,677.56
2/3/2010,3,669.38
2/3/2010,4,656.44
2/3/2010,5,665.55
2/3/2010,6,682.26
2/3/2010,7,700.56
2/3/2010,8,836.03
2/3/2010,9,976.6
2/3/2010,10,1073.8
2/3/2010,11,1120.51
2/3/2010,12,1124.25
2/3/2010,13,1123.38
2/3/2010,14,1140.72
2/3/2010,15,1129.45
2/3/2010,16,1073.23
2/3/2010,17,992.62
2/3/2010,18,912.19
2/3/2010,19,945.52
2/3/2010,20,917.02
2/3/2010,21,873.1
2/3/2010,22,835.83
2/3/2010,23,789
2/3/2010,24,745.92
2/4/2010,1,719.92
2/4/2010,2,688.88
2/4/2010,3,674.03
2/4/2010,4,652.77
2/4/2010,5,659.84
2/4/2010,6,682.16
2/4/2010,7,703.67
2/4/2010,8,843.89
2/4/2010,9,974.24
2/4/2010,10,1060.99
2/4/2010,11,1100.3
2/4/2010,12,1098.37
2/4/2010,13,1097.63
2/4/2010,14,1093.81
2/4/2010,15,1106.15
2/4/2010,16,1066.31
2/4/2010,17,978.05
2/4/2010,18,903.67
2/4/2010,19,956.07
2/4/2010,20,927.87
2/4/2010,21,878.67
2/4/2010,22,844.02
2/4/2010,23,801.49
2/4/2010,24,753.53
2/5/2010,1,706.28
2/5/2010,2,686.7
2/5/2010,3,654.44
2/5/2010,4,656.36
2/5/2010,5,657.15
2/5/2010,6,678.16
2/5/2010,7,694.04
2/5/2010,8,849.21
2/5/2010,9,973.51
2/5/2010,10,1062.97
2/5/2010,11,1114.58
2/5/2010,12,1117.31
2/5/2010,13,1117.49
2/5/2010,14,1142.31
2/5/2010,15,1134.68
2/5/2010,16,1089
2/5/2010,17,990.39
2/5/2010,18,908.12
2/5/2010,19,961.39
2/5/2010,20,940.26
2/5/2010,21,901.48
2/5/2010,22,858.13
2/5/2010,23,815.71
2/5/2010,24,764.43
2/6/2010,1,727.71
2/6/2010,2,701.72
2/6/2010,3,687.47
2/6/2010,4,667.41
2/6/2010,5,669.12
2/6/2010,6,665.47
2/6/2010,7,664.64
2/6/2010,8,738.01
2/6/2010,9,850.02
2/6/2010,10,930.94
2/6/2010,11,986.17
2/6/2010,12,957.5
2/6/2010,13,923.49
2/6/2010,14,901.69
2/6/2010,15,892.33
2/6/2010,16,859.91
2/6/2010,17,835.56
2/6/2010,18,815.42
2/6/2010,19,885.4
2/6/2010,20,878.85
2/6/2010,21,847.52
2/6/2010,22,814.93
2/6/2010,23,782.77
2/6/2010,24,736.11
2/7/2010,1,705.03
2/7/2010,2,681.72
2/7/2010,3,664.22
2/7/2010,4,650.99
2/7/2010,5,645.66
2/7/2010,6,638.25
2/7/2010,7,606.95
2/7/2010,8,626.53
2/7/2010,9,660
2/7/2010,10,697.21
2/7/2010,11,736.69
2/7/2010,12,753.23
2/7/2010,13,760.3
2/7/2010,14,778.01
2/7/2010,15,754.46
2/7/2010,16,746.94
2/7/2010,17,734.69
2/7/2010,18,723.48
